username,tweet_text_element
𝕏𝐊𝐋𝐀𝐒𝐒𝐘 𝐄𝐃𝐈𝐓𝐙,"Swiggy Instamart Loot 

Location Specific. Check yours"
komolika bhabhi ji,"Swiggy Instamart Loot 

Location Specific. Check yours"
Beleefy,"We ended up getting biryani from Swiggy instead of Zomato.

Don't understand why the same restaurant would charge different packaging charges.

What other restaurants do this? Or, is it Zomato inflating charges even on Gold membership?"
DealzTrendz,"Swiggy Instamart Loot 

Bengaluru Available Check yours"
DealBee Deals,"Swiggy Instamart Loot 

Location Specific. Check yours"
pibochai,"Swiggy Instamart Loot 

Location Specific. Check yours"
Aditya Thakur,"We ended up getting biryani from Swiggy instead of Zomato.

Don't understand why the same restaurant would charge different packaging charges.

What other restaurants do this? Or, is it Zomato inflating charges even on Gold membership?"
Beleefy,"Swiggy Instamart Loot 

Location Specific. Check yours"
Deals Only,"Swiggy Instamart Loot 

Bengaluru Available Check yours"
𝕏𝐊𝐋𝐀𝐒𝐒𝐘 𝐄𝐃𝐈𝐓𝐙,"We ended up getting biryani from Swiggy instead of Zomato.

Don't understand why the same restaurant would charge different packaging charges.

What other restaurants do this? Or, is it Zomato inflating charges even on Gold membership?"
r,"Swiggy Instamart Loot 

Location Specific. Check yours"
Aditya Thakur,"Swiggy Instamart Loot 

Location Specific. Check yours"
Val Me,"Swiggy Instamart Loot 

Bengaluru Available Check yours"
