username,tweet_text_element
La fille bohème,"I'm doing resistance training these days, adding food to the zomato cart and resisting ordering it. "
rishabh,"I'm doing resistance training these days, adding food to the zomato cart and resisting ordering it. "
Nimblr,"Dominoes Pizza onboards ONDC

Swiggy/Zomato..have started increasing platform fees..etc..alternate ONDC is also gaining traction.."
Ankit Verma,Ohh. Zomato does not make biryani. Zomato is a food delivery company.
Openminded Fanatic,"#Zomato stock price on:

31 Jan 2023: ₹48
31 Jan 2024: ₹140

Nearly 3x returns in a Year.

Reason: 
Revenue Growth of 48% during the period 
Operating loss deducted to just 21Cr.
Turned profitable last Quarter
EPS turned Positive."
Giridhur,Sometimes I also want Swiggy or Zomato to surprise deliver Pasta or Biryani yo my house because my mood is off (as a friend ofc)
ಅಭಿಷೇಕ್ | Abhishek (ಕನ್ನಡಿಗರೆಲ್ಲಾ ಒಂದು ಪರಿವಾರ),"#Zomato stock price on:

31 Jan 2023: ₹48
31 Jan 2024: ₹140

Nearly 3x returns in a Year.

Reason: 
Revenue Growth of 48% during the period 
Operating loss deducted to just 21Cr.
Turned profitable last Quarter
EPS turned Positive."
Sharad Dubey,"Dominoes Pizza onboards ONDC

Swiggy/Zomato..have started increasing platform fees..etc..alternate ONDC is also gaining traction.."
Noone,Ohh. Zomato does not make biryani. Zomato is a food delivery company.
Jane,"Hi 
@zomato
Please increase the word limit "
Sonia Shenoy,Sometimes I also want Swiggy or Zomato to surprise deliver Pasta or Biryani yo my house because my mood is off (as a friend ofc)
Payal,Sometimes I also want Swiggy or Zomato to surprise deliver Pasta or Biryani yo my house because my mood is off (as a friend ofc)
Jane,"We Promised , We Deliverd. The Biggest Mega Signal in history!

our telgram for the next trade : https://telgramsignalss2.sg-host.com/?twclid=2-t7n3dpke58zrexgxj816jy53"
kulsithan.,"Zomato Ka owner 
His business sense and the way he speaks. It shows his skills."
Gaurav,"Hi 
@zomato
Please increase the word limit "
Sanjay Om Prakash Kadian (Modi Ka Pariwar),"Dominoes Pizza onboards ONDC

Swiggy/Zomato..have started increasing platform fees..etc..alternate ONDC is also gaining traction.."
Remhehehe,"Zomato Ka owner 
His business sense and the way he speaks. It shows his skills."
Anindya,Sometimes I also want Swiggy or Zomato to surprise deliver Pasta or Biryani yo my house because my mood is off (as a friend ofc)
Praveen Naik,"Zomato Ka owner 
His business sense and the way he speaks. It shows his skills."
Sharad Dubey,"#Zomato stock price on:

31 Jan 2023: ₹48
31 Jan 2024: ₹140

Nearly 3x returns in a Year.

Reason: 
Revenue Growth of 48% during the period 
Operating loss deducted to just 21Cr.
Turned profitable last Quarter
EPS turned Positive."
ThoughtPower,"We Promised , We Deliverd. The Biggest Mega Signal in history!

our telgram for the next trade : https://telgramsignalss2.sg-host.com/?twclid=2-t7n3dpke58zrexgxj816jy53"
exchange4media group,Ohh. Zomato does not make biryani. Zomato is a food delivery company.
exchange4media group,"We Promised , We Deliverd. The Biggest Mega Signal in history!

our telgram for the next trade : https://telgramsignalss2.sg-host.com/?twclid=2-t7n3dpke58zrexgxj816jy53"
Dr Vismaya VR,"Dominoes Pizza onboards ONDC

Swiggy/Zomato..have started increasing platform fees..etc..alternate ONDC is also gaining traction.."
Daler Mehndi,Sometimes I also want Swiggy or Zomato to surprise deliver Pasta or Biryani yo my house because my mood is off (as a friend ofc)
Siddharth's Echelon,"Zomato Ka owner 
His business sense and the way he speaks. It shows his skills."
Mr Gupta || MidCap Investor,"#Zomato stock price on:

31 Jan 2023: ₹48
31 Jan 2024: ₹140

Nearly 3x returns in a Year.

Reason: 
Revenue Growth of 48% during the period 
Operating loss deducted to just 21Cr.
Turned profitable last Quarter
EPS turned Positive."
Being limitless,"Dominoes Pizza onboards ONDC

Swiggy/Zomato..have started increasing platform fees..etc..alternate ONDC is also gaining traction.."
Debiprasad ଦେବୀପ୍ରସାଦ,Sometimes I also want Swiggy or Zomato to surprise deliver Pasta or Biryani yo my house because my mood is off (as a friend ofc)
Dave Augustus,Ohh. Zomato does not make biryani. Zomato is a food delivery company.
Vidya,"We Promised , We Deliverd. The Biggest Mega Signal in history!

our telgram for the next trade : https://telgramsignalss2.sg-host.com/?twclid=2-t7n3dpke58zrexgxj816jy53"
Baabu Bhaiyya,"We Promised , We Deliverd. The Biggest Mega Signal in history!

our telgram for the next trade : https://telgramsignalss2.sg-host.com/?twclid=2-t7n3dpke58zrexgxj816jy53"
Sanika,"We Promised , We Deliverd. The Biggest Mega Signal in history!

our telgram for the next trade : https://telgramsignalss2.sg-host.com/?twclid=2-t7n3dpke58zrexgxj816jy53"
Dr Vismaya VR,"#Zomato stock price on:

31 Jan 2023: ₹48
31 Jan 2024: ₹140

Nearly 3x returns in a Year.

Reason: 
Revenue Growth of 48% during the period 
Operating loss deducted to just 21Cr.
Turned profitable last Quarter
EPS turned Positive."
Arihant Plus,"Zomato Ka owner 
His business sense and the way he speaks. It shows his skills."
Jane,Ohh. Zomato does not make biryani. Zomato is a food delivery company.
Joy,"Zomato Ka owner 
His business sense and the way he speaks. It shows his skills."
kulsithan.,"I'm doing resistance training these days, adding food to the zomato cart and resisting ordering it. "
Pranav (^_^)/,"Dominoes Pizza onboards ONDC

Swiggy/Zomato..have started increasing platform fees..etc..alternate ONDC is also gaining traction.."
Remhehehe,"I'm doing resistance training these days, adding food to the zomato cart and resisting ordering it. "
ThoughtPower,Ohh. Zomato does not make biryani. Zomato is a food delivery company.
Tanmay,"Zomato Ka owner 
His business sense and the way he speaks. It shows his skills."
Praveen Naik,"I'm doing resistance training these days, adding food to the zomato cart and resisting ordering it. "
Understanding Nuances,"Zomato Ka owner 
His business sense and the way he speaks. It shows his skills."
Pranav (^_^)/,"#Zomato stock price on:

31 Jan 2023: ₹48
31 Jan 2024: ₹140

Nearly 3x returns in a Year.

Reason: 
Revenue Growth of 48% during the period 
Operating loss deducted to just 21Cr.
Turned profitable last Quarter
EPS turned Positive."
Ray Stings,Sometimes I also want Swiggy or Zomato to surprise deliver Pasta or Biryani yo my house because my mood is off (as a friend ofc)
Nimesh Shah,"Zomato Ka owner 
His business sense and the way he speaks. It shows his skills."
Vidya,Ohh. Zomato does not make biryani. Zomato is a food delivery company.
CA Arvind Mangal,"Dominoes Pizza onboards ONDC

Swiggy/Zomato..have started increasing platform fees..etc..alternate ONDC is also gaining traction.."
Sanika,Ohh. Zomato does not make biryani. Zomato is a food delivery company.
Tarun Lochib,Sometimes I also want Swiggy or Zomato to surprise deliver Pasta or Biryani yo my house because my mood is off (as a friend ofc)
Sid ,Ohh. Zomato does not make biryani. Zomato is a food delivery company.
rishabh,"Zomato Ka owner 
His business sense and the way he speaks. It shows his skills."
Suresh Mathew,Sometimes I also want Swiggy or Zomato to surprise deliver Pasta or Biryani yo my house because my mood is off (as a friend ofc)
“Riseyourself” RL Narayanan,Ohh. Zomato does not make biryani. Zomato is a food delivery company.
cute one-liners,"Zomato Ka owner 
His business sense and the way he speaks. It shows his skills."
Joy,"I'm doing resistance training these days, adding food to the zomato cart and resisting ordering it. "
Gaurav,Sometimes I also want Swiggy or Zomato to surprise deliver Pasta or Biryani yo my house because my mood is off (as a friend ofc)
FeastBit 2.0,"Dominoes Pizza onboards ONDC

Swiggy/Zomato..have started increasing platform fees..etc..alternate ONDC is also gaining traction.."
Explorer,Ohh. Zomato does not make biryani. Zomato is a food delivery company.
Debiprasad ଦେବୀପ୍ରସାଦ,"We Promised , We Deliverd. The Biggest Mega Signal in history!

our telgram for the next trade : https://telgramsignalss2.sg-host.com/?twclid=2-t7n3dpke58zrexgxj816jy53"
vada,Ohh. Zomato does not make biryani. Zomato is a food delivery company.
Jane,"Zomato Ka owner 
His business sense and the way he speaks. It shows his skills."
