username,tweet_text_element
Vedant Jain,"Tired of making same regular projects like Netflix clone and Swiggy Clone? Your resume deserves something better  

Before getting into the details I would to thank everyone for their immense love to my previous project ""Online Drawing Tool Using NextJs and NodeJS"", with more…"
℮,"Water is the biggest threat to Coca Cola ~ Coca Cola 

Zomato & Swiggy are the biggest threat to mutual fund industry"" ~ Radhika Gupta. "
Pranav Pai Vernekar,My neighborhood cloud kitchen gives 40% off over price listed on Swiggy.
anthoni raj,"Every time I open Instagram everyone is 
1. Either getting married
2. Throwback/anniversary of their wedding
3. Attending a marriage..
And here I’m  complaining to Swiggy bot.."
Harshit Jain,"Accept 
@nbahousearrest
 swiggy"
Aditya Chopra,"While this is good...as swiggey, zomato grow...there is substantial increase in plastic container consumption. These companies should encourage restaurants to find more sustainable.packaging 
@Swiggy
 @zom"
GEETHA GOWDA/ಗೀತ ಗೌಡ,"While this is good...as swiggey, zomato grow...there is substantial increase in plastic container consumption. These companies should encourage restaurants to find more sustainable.packaging 
@Swiggy
 @zom"
SarbatDaBhala,"Every time I open Instagram everyone is 
1. Either getting married
2. Throwback/anniversary of their wedding
3. Attending a marriage..
And here I’m  complaining to Swiggy bot.."
orenge car enthusiast,"Accept 
@nbahousearrest
 swiggy"
IMRAN HUSSAIN,"Accept 
@nbahousearrest
 swiggy"
Neha Nagar,"Water is the biggest threat to Coca Cola ~ Coca Cola 

Zomato & Swiggy are the biggest threat to mutual fund industry"" ~ Radhika Gupta. "
Joy,"Tired of making same regular projects like Netflix clone and Swiggy Clone? Your resume deserves something better  

Before getting into the details I would to thank everyone for their immense love to my previous project ""Online Drawing Tool Using NextJs and NodeJS"", with more…"
𝒦#21.06.24,"Accept 
@nbahousearrest
 swiggy"
Dr P M K Swamy,"Accept 
@nbahousearrest
 swiggy"
Orate,"Accept 
@nbahousearrest
 swiggy"
Hari,"Accept 
@nbahousearrest
 swiggy"
Don't Let Your… | Amit Baliga,"While this is good...as swiggey, zomato grow...there is substantial increase in plastic container consumption. These companies should encourage restaurants to find more sustainable.packaging 
@Swiggy
 @zom"
SpaceStruck,"Every time I open Instagram everyone is 
1. Either getting married
2. Throwback/anniversary of their wedding
3. Attending a marriage..
And here I’m  complaining to Swiggy bot.."
Jitendra Jain,"Accept 
@nbahousearrest
 swiggy"
Harshit Jain,"While this is good...as swiggey, zomato grow...there is substantial increase in plastic container consumption. These companies should encourage restaurants to find more sustainable.packaging 
@Swiggy
 @zom"
Ashutosh Khajuria,My neighborhood cloud kitchen gives 40% off over price listed on Swiggy.
Aseem Aggarwal,My neighborhood cloud kitchen gives 40% off over price listed on Swiggy.
Chaoticartist07,"Every time I open Instagram everyone is 
1. Either getting married
2. Throwback/anniversary of their wedding
3. Attending a marriage..
And here I’m  complaining to Swiggy bot.."
Heer,"Accept 
@nbahousearrest
 swiggy"
Hema malini,"Accept 
@nbahousearrest
 swiggy"
Shanghaiing,"Accept 
@nbahousearrest
 swiggy"
