username,tweet_text_element
Satheesh Kumar (மோடியின் குடும்பம்),Order something from swiggy or Zomato for this location while delivering ask the delivery person to pass the phone and speak with the concern person.
Shankar,"Contrary to earlier reports suggesting 
@Zomato
's potential acquisition of Indian e-commerce startup 
@ShiprocketIndia
, sources have informed CNBC-TV18 that the news is inaccurate and false."
ओंकार,"Article in today’s 
@timesofindia
 vs yesterday’s late evening 
@deepigoyal
 statement on 
@zomato
 @ShiprocketIndia
 !"
Retard patch,"Zomato offers to acquire Shiprocket for $2 billion

Report => Bloomberg

In Dec 2021, Zomato led $185 Mn round in Shiprocket

Shiprocket turns unicorn in Aug 2022

It recently raised $11 Mn from McKinsey at flat valuation

FY23 results"
RedboxGlobal India,"Zomato offers to acquire Shiprocket for $2 billion

Report => Bloomberg

In Dec 2021, Zomato led $185 Mn round in Shiprocket

Shiprocket turns unicorn in Aug 2022

It recently raised $11 Mn from McKinsey at flat valuation

FY23 results"
CNBC-TV18,"Contrary to earlier reports suggesting 
@Zomato
's potential acquisition of Indian e-commerce startup 
@ShiprocketIndia
, sources have informed CNBC-TV18 that the news is inaccurate and false."
Jahanvi Singh,"Zomato offers to acquire Shiprocket for $2 billion

Report => Bloomberg

In Dec 2021, Zomato led $185 Mn round in Shiprocket

Shiprocket turns unicorn in Aug 2022

It recently raised $11 Mn from McKinsey at flat valuation

FY23 results"
Anirban,"Same analogy given by experts when #BSE IPO came.

It use to compared with #NSE and it's valuation.

And rest is history!!

After that I only living in present !! 

Nothing I have anything against Aditya but, but very much in favour of #Zomato "
Stocktwits India,"Zomato offers to acquire Shiprocket for $2 billion

Report => Bloomberg

In Dec 2021, Zomato led $185 Mn round in Shiprocket

Shiprocket turns unicorn in Aug 2022

It recently raised $11 Mn from McKinsey at flat valuation

FY23 results"
Finvesting Journey,"Zomato offers to acquire Shiprocket for $2 billion

Report => Bloomberg

In Dec 2021, Zomato led $185 Mn round in Shiprocket

Shiprocket turns unicorn in Aug 2022

It recently raised $11 Mn from McKinsey at flat valuation

FY23 results"
करूड़ सिंह,"Zomato offers to acquire Shiprocket for $2 billion

Report => Bloomberg

In Dec 2021, Zomato led $185 Mn round in Shiprocket

Shiprocket turns unicorn in Aug 2022

It recently raised $11 Mn from McKinsey at flat valuation

FY23 results"
Pragatti Oberoi,"Contrary to earlier reports suggesting 
@Zomato
's potential acquisition of Indian e-commerce startup 
@ShiprocketIndia
, sources have informed CNBC-TV18 that the news is inaccurate and false."
Inc42,"Contrary to earlier reports suggesting 
@Zomato
's potential acquisition of Indian e-commerce startup 
@ShiprocketIndia
, sources have informed CNBC-TV18 that the news is inaccurate and false."
Arin Verma,"Zomato and Swiggy are two of the best internet companies in India and are cursed to be in the same sector :))
__
Follow 
@ArinVerma1910
 for interesting stories about businesses and startups"
MysteryDealz,"Same analogy given by experts when #BSE IPO came.

It use to compared with #NSE and it's valuation.

And rest is history!!

After that I only living in present !! 

Nothing I have anything against Aditya but, but very much in favour of #Zomato "
Nilesh Shetty,"Zomato and Swiggy are two of the best internet companies in India and are cursed to be in the same sector :))
__
Follow 
@ArinVerma1910
 for interesting stories about businesses and startups"
Harsh Upadhyay,"Thank you 
#zomato"
Naman,"Article in today’s 
@timesofindia
 vs yesterday’s late evening 
@deepigoyal
 statement on 
@zomato
 @ShiprocketIndia
 !"
Sai Venkat Manchukonda,"Article in today’s 
@timesofindia
 vs yesterday’s late evening 
@deepigoyal
 statement on 
@zomato
 @ShiprocketIndia
 !"
Safir,Order something from swiggy or Zomato for this location while delivering ask the delivery person to pass the phone and speak with the concern person.
shivansh goyal,"Thank you 
#zomato"
Kiki,"A poor food delivery by 
@zomato
 i got charged the asking amount but received unhygienic stinky food which was covered in a dirty newspaper. What to expect from 
@zomatocare
 . This is a healthy hazard i want my full refund, consumers pay package charges for what ? A newspaper!"
Moneycontrol,"Contrary to earlier reports suggesting 
@Zomato
's potential acquisition of Indian e-commerce startup 
@ShiprocketIndia
, sources have informed CNBC-TV18 that the news is inaccurate and false."
Anshu,"Thank you 
#zomato"
TIMES NOW,"Same analogy given by experts when #BSE IPO came.

It use to compared with #NSE and it's valuation.

And rest is history!!

After that I only living in present !! 

Nothing I have anything against Aditya but, but very much in favour of #Zomato "
Dev Tyagi,"Once ONDC is fully integrated it will be cheaper than both Zomato and Swiggy.

Zomato and Swiggy will be forced to lower commissions

But this will happen with time
ONDC will break the Zomato Swiggy duopoly!"
Shriyal,"Zomato and Swiggy are two of the best internet companies in India and are cursed to be in the same sector :))
__
Follow 
@ArinVerma1910
 for interesting stories about businesses and startups"
Sumon Mukhopadhyay (সুমন মুখোপাধ্যায়),"A poor food delivery by 
@zomato
 i got charged the asking amount but received unhygienic stinky food which was covered in a dirty newspaper. What to expect from 
@zomatocare
 . This is a healthy hazard i want my full refund, consumers pay package charges for what ? A newspaper!"
Satheesh Kumar (மோடியின் குடும்பம்),"Contrary to earlier reports suggesting 
@Zomato
's potential acquisition of Indian e-commerce startup 
@ShiprocketIndia
, sources have informed CNBC-TV18 that the news is inaccurate and false."
Thajan Thomas थजन थोमस ثاجان توماس താജൻ േതാമസ്,"Zomato and Swiggy are two of the best internet companies in India and are cursed to be in the same sector :))
__
Follow 
@ArinVerma1910
 for interesting stories about businesses and startups"
Fantasy 11 PRO (AI Team Generator),"Article in today’s 
@timesofindia
 vs yesterday’s late evening 
@deepigoyal
 statement on 
@zomato
 @ShiprocketIndia
 !"
CNBC-TV18,"Same analogy given by experts when #BSE IPO came.

It use to compared with #NSE and it's valuation.

And rest is history!!

After that I only living in present !! 

Nothing I have anything against Aditya but, but very much in favour of #Zomato "
Khan Waqas,"A poor food delivery by 
@zomato
 i got charged the asking amount but received unhygienic stinky food which was covered in a dirty newspaper. What to expect from 
@zomatocare
 . This is a healthy hazard i want my full refund, consumers pay package charges for what ? A newspaper!"
